
---====05:58:05====---

[05:58:05]  (( Полковник Faust_Blackwood: /ffixcar 10 sec, займите авто. ))
[08:04:08]  Кадет Xavier_Devilish[136]: [Student of PA] 10-4, присоединяюсь к погоне за Lamborghini Huracan с номерами MRK
[08:04:13]  (( Кадет Xavier_Devilish: ! ))
[08:04:13]  Прапорщик Pablo_Vinchester[503]: [Officer of CPD]: Вылетаем в порт, желающии на крышу 2 места свободных
[08:04:18]  Майор Dennis_Perchinskyi[474]: «Director of O.C.O.» Преследую бело-желтый Lamborghini Huracan с номерами MRK
[08:04:20]  Майор Dennis_Perchinskyi[474]: «Director of O.C.O.» Местоположение: Южная автострада имени Юлиуса, К-18. GPS: 1482.4, 827.3, 6
[08:04:38]  Прапорщик Pablo_Vinchester[503]: [Officer of CPD]: Вылетаем в порт, желающии на крышу 2 места свободных, есть кто в пути?
[08:06:05]  Прапорщик Pablo_Vinchester[503]: [Officer of CPD]: Вылетел в порт, напарник Sombrero_Montano
[08:06:48]  Шериф Jeremiah_Stoun[223]: [Chief of Police]: На крышу +3, порт.
[08:06:50]  (( Шериф Jeremiah_Stoun: /ffixcar 14 sec, займите авто. ))
[08:06:52]  Лейтенант Bon_Byason[812]: [Officer of CPD]: Дело 340 без протокола, неадекват
[08:06:54]  (( Шериф Jeremiah_Stoun: /ffixcar 10 sec, займите авто. ))
[08:06:59]  (( Шериф Jeremiah_Stoun: /ffixcar 5 sec, займите авто. ))
[08:07:12]  Bon_Byason взял(а) ключи от камеры. Причина: cpd

---====18:12:05====---

[18:12:05]  Полковник Martin_Milson[848]: «Chief of Staff» Кадеты, если делать нечего, можете выехать по городу с докладами
[18:12:12]  Полковник Martin_Milson[848]: «Chief of Staff» Но ничего не предпринимать
[18:12:19]  Полковник Martin_Milson[848]: «Chief of Staff» Вызывать подкрепление в случае чего
[18:12:30]  Прапорщик Micael_Marshall[481]: [Officer of CPD] Преследую красно-зеленый NRG-500 с номерами KANEKO
[18:12:31]  Прапорщик Micael_Marshall[481]: [Officer of CPD] Местоположение: Туманный Округ, Н-19. GPS: 1624.0, 92.4, 36.9
[18:12:34]  Офицер Harry_Heydrich[17]: [Officer of CPD] 10-4, присоединяюсь к погоне за NRG-500 с номерами KANEKO
[18:12:36]  Капитан Deadshot_Fearful[574]: «SWAT» 10-4, присоединяюсь к погоне за NRG-500 с номерами KANEKO
[18:12:49]  Кадет Xavier_Devilish[430]: [Student of PA] А можно с кем-то в патруль? Если есть свободные места в авто
[18:13:03]  Капитан Deadshot_Fearful[574]: «SWAT» координация
[18:13:04]  Капитан Deadshot_Fearful[574]: «SWAT» координация по нрг
[18:13:07]  Полковник Martin_Milson[848]: «Chief of Staff» СPD, возьмите кадета
[18:13:13]  Капитан Deadshot_Fearful[574]: «SWAT» координация по нрг ну где 
[18:13:22]  Капитан Deadshot_Fearful[574]: «SWAT» Micael Marshall
[18:13:25]  Капитан Deadshot_Fearful[574]: «SWAT» Micael Marshall координируйте
[18:13:46]  Капитан Deadshot_Fearful[574]: «SWAT» Micael Marshall координируйте
[18:14:00]  Прапорщик Micael_Marshall[481]: [Officer of CPD] я на мосту
[18:14:04]  Капитан Deadshot_Fearful[574]: «SWAT» Micael Marshall ну че вы молчите
[18:14:06]  Капитан Deadshot_Fearful[574]: «SWAT» Где нрг
[18:14:11]  Капитан Deadshot_Fearful[574]: «SWAT» Мда
[18:14:28]  Офицер Harry_Heydrich[17]: [Officer of CPD] Делай доклад о 10-55
[18:15:04]  Прапорщик Micael_Marshall[481]: [Officer of CPD] 10-99 по 10-57, водитель красно-зеленого NRG-500 с номерами KANEKO оштрафован
[18:15:22]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:15:31]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:16:04]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:16:29]  (( Полковник Martin_Milson: Алишер в розыск не можешь объявлять пока кадет ! ))
[18:16:38]  (( Полковник Martin_Milson: И статью названиями пиши а не цифрами  ))
[18:16:42]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:16:45]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:16:53]  Прапорщик Micael_Marshall[481]: [Officer of CPD] 10-99 по 10-57, водитель черного Sultan с номерами M14FR728 задержан
[18:16:58]  (( Капитан Deadshot_Fearful: ахахах ))
[18:17:10]  (( Полковник Martin_Milson: Алишер ёпт ))
[18:17:16]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:17:19]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:17:22]  (( Офицер Harry_Heydrich: ща 6 звезд даст по причине 1 ))
[18:17:44]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:17:56]  Полковник Martin_Milson[848]: «Chief of Staff» Требуется еще хотя бы 5
[18:18:10]  Прапорщик Jonathan_Cooper[862]: «Inspector of PA» минуту сейчас буду
[18:18:41]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:19:09]  Полковник Martin_Milson[848]: «Chief of Staff» Кадеты, в строй
[18:19:37]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:20:23]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:20:34]  Полковник Martin_Milson[848]: «Chief of Staff» Ну давайте же
[18:21:09]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:21:37]  Полковник Martin_Milson[848]: «Chief of Staff» Еще пару человек надо 
[18:21:44]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:22:02]  Полковник Martin_Milson[848]: «Chief of Staff» Еще 1 человек на тренировку
[18:22:20]  Полковник Martin_Milson[848]: «Chief of Staff» Идёт кто ?
[18:22:56]  Nova_Schwartz взял(а) ключи от камеры. Причина: ворк
[18:23:13]  Капитан Nova_Schwartz[671]: «Dep.Head CSI» 10-99 по 10-57, водитель черно-серого Mercedes CLS63 AMG w219 без номеров задержан
[18:23:35]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:23:58]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:24:19]  (( Полковник Martin_Milson: Что за полупокеры ))
[18:24:26]  (( Ст.Прапорщик Isaac_Roberto: посадили? ))
[18:24:47]  (( Кадет Xavier_Devilish: та это подручные дузи у них днк тут где то стоит ))
[18:25:00]  (( Сержант Daiki_Bauer: так а зач вы их гасите ))
[18:25:03]  (( Сержант Daiki_Bauer: тазерите ))
[18:25:10]  (( Полковник Martin_Milson: Розыск вообще должно дать ))
[18:25:15]  Полковник Martin_Milson[848]: «Chief of Staff» Департамент, общее построение в подземной парковке. Тренировка с фондом
[18:25:24]  (( Офицер Harry_Heydrich: нас же сильно больше ))
[18:25:25]  (( Сержант Daiki_Bauer: так у них маски, там система с каким то мелким шансом выдаёт ))
[18:25:27]  Полковник Martin_Milson[848]: «Chief of Staff» 2 человека еще в строй
[18:26:02]  Полковник Martin_Milson[848]: «Chief of Staff» 2 человека еще в строй
[18:26:08]  (( Кадет Xavier_Devilish: та они ключи нафармить хотели ))
[18:27:35]  (( Офицер Dmytro_Lemekha: Маски юзать? ))
[18:27:38]  (( Полковник Martin_Milson: - ))
[18:28:46]  Полковник Martin_Milson[848]: «Chief of Staff» Выходим, cтроимся
[18:28:54]  Полковник Martin_Milson[848]: «Chief of Staff» Выходим, cтроимся
[18:29:20]  Капитан Nova_Schwartz[208]: «Dep.Head CSI» Провожу 10-55, сектор: В-21. Напарники: D.Schwartz, V.Schwartz. 10-6, over-over
[18:30:52]  Капитан Nova_Schwartz[208]: «Dep.Head CSI» 10-99 по 10-57, водитель черного Mercedes-Benz E63 AMG w212 с номерами 142 оштрафов
[18:32:25]  Полковник Martin_Milson[848]: «Chief of Staff» Cаша 32
[18:32:39]  Капитан Nova_Schwartz[208]: «Dep.Head CSI» SOS, запрашиваю доп. юнитов в сектор Л-20. GPS: 1780.2, 662.3, 17.8
[18:33:01]  Полковник Martin_Milson[848]: «Chief of Staff» Командиры доложите о готовности
[18:33:10]  Офицер Dmytro_Lemekha[133]: [Officer Of CPD] Готов
[18:33:19]  Полковник Martin_Milson[848]: «Chief of Staff» Возвышенности и крыши запрещены, обезбол и тд тоже
[18:33:25]  Полковник Martin_Milson[848]: «Chief of Staff» Черные готовы ?
[18:33:57]  Полковник Martin_Milson[848]: «Chief of Staff» Черные готовы ?
[18:34:07]  Мл.Лейтенант Sasha_Sunside[19]: «Agent of CSI»: ready
[18:34:12]  Полковник Martin_Milson[848]: «Chief of Staff» Начали тренировку !
[18:34:14]  Полковник Martin_Milson[848]: «Chief of Staff» Начали тренировку !
[18:34:30]  Полковник Martin_Milson[848]: «Chief of Staff» Возвышенности и крыши запрещены, обезбол и тд тоже
[18:34:54]  Лейтенант Danil_Schwartz[488]: Head of CSI | SOS, запрашиваю доп. юнитов в сектор Л-14. GPS: 271.4, 743.5, 6.1
[18:35:02]  Полковник Martin_Milson[848]: «Chief of Staff» 15 нейтрал
[18:35:35]  Полковник Martin_Milson[848]: «Chief of Staff» Розовые победили
[18:35:44]  (( Капитан Nova_Schwartz: на мосту стреоляют ))
[18:36:38]  Капитан Nova_Schwartz[208]: «Dep.Head CSI» Запрашиваю эвакуацию для 1го, Л-14. GPS: 280.1, 745.3, 5.9
[18:36:41]  Лейтенант Danil_Schwartz[488]: Head of CSI | 10-4, выезжаю по эвакуации в Л-14. РВП - 5 минут.
[18:40:04]  Полковник Martin_Milson[848]: «Chief of Staff» Первёл всем выигрышь
[18:40:17]  Полковник Martin_Milson[848]: «Chief of Staff» МО ЛВ пробуем формы перехватит
[18:40:23]  Полковник Martin_Milson[848]: «Chief of Staff» В сторону LVA скорее всего
[18:40:29]  (( Полковник Martin_Milson: Перехватить * ))
[18:41:22]  Полковник Martin_Milson[848]: «Chief of Staff» Cырьё
[18:41:28]  (( Мл.Лейтенант Sasha_Sunside: ffix ))
[18:42:12]  (( Полковник Martin_Milson: Внимание ! Эвакуация служебного транспорта 15 секунд ! ))
[18:42:12]  (( Полковник Martin_Milson: Внимание ! Эвакуация служебного транспорта 10 секунд ! ))
[18:42:12]  (( Полковник Martin_Milson: Внимание ! Эвакуация служебного транспорта 5 секунд ! ))
[18:42:12]  Кадет Xavier_Devilish[430]: [Student of PA] С кем-то выехать можно на помощь или патруль?
[18:42:12]  Офицер Dmytro_Lemekha[133]: [Officer Of CPD] Патруль Лас-Вентураса. Рока Эскаланте. Напарники: A.Skrypnyk 
[18:42:12]  (( Сержант Daiki_Bauer: v garaj idi ))
[18:43:12]  (( Кадет Xavier_Devilish: tyt ))
[18:43:12]  Офицер Dmytro_Lemekha[133]: [Officer Of CPD] Провожу 10-55, сектор: К-21. Напарники: A.Skrypnyk, S.Cabrero. 10-6, over-over
[18:43:49]  Кадет Xavier_Devilish[430]: [Student of PA] Патруль Лас-Вентураса. Центральное Шоссе. Напарники: D.Bauer, L.Bauer.

---====18:57:38====---

[18:57:38]  Капитан Nova_Schwartz[334]: «Dep.Head CSI» Провожу 10-55, сектор: Т-18. Напарники: D.Schwartz. 10-6, over-over
[19:01:56]  (( Сержант Hans_Ehrenreich: Бож ПГ ))
[19:02:01]  Danil_Schwartz взял(а) ключи от камеры. Причина: работа
[19:02:37]  Dmytro_Lemekha взял(а) ключи от камеры. Причина: 1
[19:06:26]  Nova_Schwartz взял(а) ключи от камеры. Причина: ворк
[19:36:06]  Лейтенант Deni_Sambrero[122]: [Agent of CSI] Генерал Ханс, на связь
[19:36:06]  Лейтенант Deni_Sambrero[122]: [Agent of CSI] Генерал Ханс, на связь
[19:36:06]  Сержант Hans_Ehrenreich[360]: [Agent of CSI] я в депе
[19:36:06]  Кадет Oda_Fudjimoto[482]: Student of PA: Проверка рации
[19:36:06]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: Отлично слышно
[19:36:06]  Полковник Martin_Milson[848]: «Chief of Staff» Доклады в рацию не забываем с патрулей, кто на работе
[19:36:06]  Полковник Martin_Milson[848]: «Chief of Staff» Помните что вызовы - обязательны, для всех
[19:36:06]  Полковник Martin_Milson[848]: «Chief of Staff» Если принять не можете 10-8 - причина
[19:36:06]  Кадет Xavier_Devilish[95]: [Student of PA] Возьмёт кто в патруль с собой?
[19:36:06]  Полковник Martin_Milson[848]: «Chief of Staff» Кадеты берем в патруль кто-то
[19:36:06]  (( Полковник Martin_Milson: Кадета * ))
[19:36:06]  Полковник Martin_Milson[848]: «Chief of Staff» Ray Heartless, чем занят 
[19:36:06]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: Смотрю в небо
[19:36:06]  Полковник Martin_Milson[848]: «Chief of Staff» Кадета бери с собой в патруль
[19:36:06]  Кадет Oda_Fudjimoto[482]: Student of PA: Из инструкторов PA есть кто на работе?
[19:36:06]  Полковник Martin_Milson[848]: «Chief of Staff» Обученный
[19:36:07]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: Это дело не моего отдела
[19:36:07]  Полковник Martin_Milson[848]: «Chief of Staff» Без разницы
[19:36:07]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: Ну да ладно. Где он?
[19:36:07]  Полковник Martin_Milson[848]: «Chief of Staff» В холле
[19:36:07]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: В гараже жду
[19:36:07]  Кадет Xavier_Devilish[95]: [Student of PA] Я в гараже
[19:36:07]  Полковник Martin_Milson[848]: «Chief of Staff» Это обученные кадеты
[19:36:07]  Капитан Loonklage_Revolution[318]: «Officer of CPD» Заберите бомжика из зоны отдыха
[19:36:07]  Капитан Loonklage_Revolution[318]: «Officer of CPD» Умоляю
[19:36:07]  Полковник Martin_Milson[848]: «Chief of Staff» И доклады не забывайте
[19:36:07]  Офицер Harry_Heydrich[34]: [Officer of CPD] L-726, 10-20 В-21, Казино Изумрудный Остров.
[19:36:07]  Офицер Harry_Heydrich[34]: [Officer of CPD] A-726, 10-20 В-21, Казино Изумрудный Остров. Напарники: X.Devilish, R.Heartless. 
[19:36:07]  Лейтенант Deni_Sambrero[122]: [Agent of CSI] Куда за тобой
[19:36:07]  Сержант Hans_Ehrenreich[360]: [Agent of CSI] А-67, жоский патруль города Las-Venturas. Напарники: Ода, Дени
[19:36:07]  Полковник Martin_Milson[848]: «Chief of Staff» LVA проверяйте переодически
[19:36:07]  Полковник Martin_Milson[848]: «Chief of Staff» Кто в патруле
[19:36:07]  Офицер Harry_Heydrich[34]: [Officer of CPD] 10-4
[19:36:07]  Кадет Xavier_Devilish[95]: [Student of PA] Патруль Лас-Вентураса. Малхолландский перекресток. Напарники: R.Heartless, H.Heydri
[19:36:07]  Лейтенант Steven_Seagal[249]: [Officer of CPD] A-253. Патруль Центральное Шоссе. Д-21,Напарников нет, over.
[19:36:07]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: Провожу 10-55, сектор: Р-19. Напарники: H.Heydrich, X.Devilish. 10-6, over-
[19:36:07]  Офицер Harry_Heydrich[34]: [Officer of CPD] Преследую синий Sultan без номеров
[19:36:07]  Офицер Harry_Heydrich[34]: [Officer of CPD] Местоположение: Малхолланд, П-19. GPS: 1612.3, -320.5, 18.4
[19:36:07]  Сержант Hans_Ehrenreich[360]: [Agent of CSI] Протокол на имя Alisa Filipchik не составлен, ООП
[19:36:07]  Лейтенант Steven_Seagal[249]: [Officer of CPD] 10-4, присоединяюсь к погоне за Sultan без номеров
[19:36:07]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: Вайнвуд
[19:36:07]  Полковник Martin_Milson[848]: «Chief of Staff» На ООП всё равно составляется протокол
[19:36:07]  Сержант Hans_Ehrenreich[360]: [Agent of CSI] С каких пор
[19:36:07]  Кадет Oda_Fudjimoto[482]: Student of PA: Залет
[19:36:07]  Полковник Martin_Milson[848]: «Chief of Staff» Протокол не составляется если молчун или неадекват
[19:36:07]  Офицер Danny_Marquez[799]: [Officer of CPD]: Всегда составлялся
[19:36:07]  Офицер Harry_Heydrich[34]: [Officer of CPD] Преследую синий Sultan без номеров
[19:36:07]  Офицер Harry_Heydrich[34]: [Officer of CPD] Местоположение: Темпл Драйв, С-18. GPS: 1376.3, -972.5, 32.8
[19:36:07]  Сержант Hans_Ehrenreich[360]: [Agent of CSI] Ну так на ООП тоже не составляется же
[19:36:07]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: 10-4, присоединяюсь к погоне за Sultan без номеров
[19:36:07]  Кадет Xavier_Devilish[95]: [Student of PA] 10-4, присоединяюсь к погоне за Sultan без номеров
[19:36:07]  Офицер Danny_Marquez[799]: [Officer of CPD]: Молчун и неадекват как Милсон сказал
[19:36:07]  Полковник Martin_Milson[848]: «Chief of Staff» Составляется
[19:36:07]  Офицер Danny_Marquez[799]: [Officer of CPD]: Только в двух случаях без протокола
[19:36:07]  Офицер Danny_Marquez[799]: [Officer of CPD]: Третий нигде не прописан
[19:36:07]  Лейтенант Deni_Sambrero[122]: [Agent of CSI] 10-99 по 10-57, водитель красного ВАЗ 2106 без номеров задержан
[19:36:07]  (( Ст.Прапорщик Ray_Heartless: киньте финд на 307 и скажите квадрат ))
[19:36:07]  Сержант Hans_Ehrenreich[360]: [Agent of CSI] Провожу 10-55, сектор: З-20. Напарники: D.Sambrero. 10-6, over-over
[19:36:07]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: SOS, запрашиваю доп. юнитов в сектор Н-19. GPS: 1616.7, 60.7, 37.3
[19:36:07]  Лейтенант Steven_Seagal[249]: [Officer of CPD] 10-4, выдвигаюсь на поддержку в сектор Н-19
[19:36:07]  Офицер Harry_Heydrich[34]: [Officer of CPD] 10-4, выдвигаюсь на поддержку в сектор Н-19
[19:36:07]  (( Кадет Xavier_Devilish: Вы посадили преступника на 2400 секунд! ))
[19:36:07]  (( Ст.Прапорщик Ray_Heartless: жду в пп ))
[19:36:07]  (( Ст.Прапорщик Ray_Heartless: тебя убили? ))
[19:36:07]  Офицер Harry_Heydrich[34]: [Officer of CPD] L-699, 10-20 К-21, Центральное Шоссе.
[19:36:07]  Офицер Harry_Heydrich[34]: [Officer of CPD] A-699, 10-20 К-21, Южная автострада имени Юлиуса. Напарники: R.Heartless, X.Devili
[19:36:07]  (( Кадет Oda_Fudjimoto: какой ваще клист у Инструкторов ПА ))
[19:36:07]  Капитан Baki_Bakevich[152]: [Instructor of PA] 10-4
[19:36:07]  (( Капитан Baki_Bakevich: я инструктор ))
[19:36:07]  Офицер Dmytro_Lemekha[133]: [Officer Of CPD] Патруль Лас-Вентураса. Рока Эскаланте. Напарники: A.Skrypnyk 
[19:36:07]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: SOS, запрашиваю доп. юнитов в сектор Н-19. GPS: 1606.9, 79.3, 37.6
[19:36:07]  Лейтенант Steven_Seagal[249]: [Officer of CPD] 10-4, выдвигаюсь на поддержку в сектор Н-19
[19:36:07]  Кадет Oda_Fudjimoto[101]: Student of PA: Капитан Баки, примите что нибудь из ряда экзаменов?
[19:36:07]  Капитан Baki_Bakevich[152]: [Instructor of PA] 10-4, выдвигаюсь на поддержку в сектор Н-19
[19:36:07]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: Быстрее
[19:36:07]  Капитан Baki_Bakevich[152]: [Instructor of PA] Канеш
[19:36:07]  (( Ст.Прапорщик Ray_Heartless: ffix ))
[19:36:07]  Офицер Dmytro_Lemekha[133]: [Officer Of CPD] Патруль Лас-Вентураса. Центральное Шоссе. Напарники: A.Skrypnyk 
[19:36:07]  (( Капитан Baki_Bakevich: Вы посадили преступника на 600 секунд! ))
[19:36:07]  Penelope_Deladraze[52] потерпел неудачу в расследовании и не смог найти преступника
[19:36:07]  (( Капитан Baki_Bakevich: только одного ))
[19:36:07]  Капитан Baki_Bakevich[152]: [Instructor of PA] Где кадет
[19:36:07]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: 10-4
[19:36:07]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: У меня на коленях
[19:36:07]  Кадет Oda_Fudjimoto[101]: Student of PA: 2 этаж Лекторная
[19:36:08]  Кадет Xavier_Devilish[95]: [Student of PA] Патруль Лас-Вентураса. Пустынный Округ. Напарники: R.Heartless.
[19:36:08]  Офицер Dmytro_Lemekha[133]: [Officer Of CPD] Патруль Лас-Вентураса. Казино Четыре Дракона. Напарники: A.Skrypnyk, D.Lemekha 
[19:36:08]  Сержант Hans_Ehrenreich[360]: [Agent of CSI] Miden где ты есть
[19:36:08]  (( Капитан Nova_Schwartz: он в дмг ))
[19:36:08]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: SOS, запрашиваю доп. юнитов в сектор И-12. GPS: -179.6, 1194.8, 19.5
[19:36:08]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: SOS, запрашиваю доп. юнитов в сектор И-12. GPS: -89.3, 1204.7, 19.6
[19:36:08]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: Преследую кремовый Barracks с номерами A19FR225
[19:36:08]  Ст.Прапорщик Ray_Heartless[441]: [Officer of CPD]: Местоположение: Форт Карсон, И-13. GPS: 4.1, 1198.4, 19.6
[19:36:11]  Офицер Dmytro_Lemekha[133]: [Officer Of CPD] 10-4, выдвигаюсь на поддержку в сектор И-12
[19:36:13]  Офицер Dmytro_Lemekha[133]: [Officer Of CPD] 10-4, выдвигаюсь на поддержку в сектор И-12
[19:36:14]  Офицер Dmytro_Lemekha[133]: [Officer Of CPD] 10-4, присоединяюсь к погоне за Barracks с номерами A19FR225
